continent,country,obs_type,obs_vlues
Africa,Somalia,gdpPercap_1952,1135.749842
Africa,South Africa,gdpPercap_1952,4725.295531
Africa,Sudan,gdpPercap_1952,1615.991129
Africa,Swaziland,gdpPercap_1952,1148.376626
Africa,Tanzania,gdpPercap_1952,716.6500721
Africa,Togo,gdpPercap_1952,859.8086567
Africa,Tunisia,gdpPercap_1952,1468.475631
Africa,Uganda,gdpPercap_1952,734.753484
Africa,Zambia,gdpPercap_1952,1147.388831
Africa,Zimbabwe,gdpPercap_1952,406.8841148
Americas,Argentina,gdpPercap_1952,5911.315053
Americas,Bolivia,gdpPercap_1952,2677.326347
Americas,Brazil,gdpPercap_1952,2108.944355
Americas,Canada,gdpPercap_1952,11367.16112
Americas,Chile,gdpPercap_1952,3939.978789
Americas,Colombia,gdpPercap_1952,2144.115096
Americas,Costa Rica,gdpPercap_1952,2627.009471
Americas,Cuba,gdpPercap_1952,5586.53878
Americas,Dominican Republic,gdpPercap_1952,1397.717137
Americas,Ecuador,gdpPercap_1952,3522.110717
Americas,El Salvador,gdpPercap_1952,3048.3029
Americas,Guatemala,gdpPercap_1952,2428.237769
Americas,Haiti,gdpPercap_1952,1840.366939
Americas,Honduras,gdpPercap_1952,2194.926204
Americas,Jamaica,gdpPercap_1952,2898.530881
Americas,Mexico,gdpPercap_1952,3478.125529
Americas,Nicaragua,gdpPercap_1952,3112.363948
Americas,Panama,gdpPercap_1952,2480.380334
Americas,Paraguay,gdpPercap_1952,1952.308701
Americas,Peru,gdpPercap_1952,3758.523437
Americas,Puerto Rico,gdpPercap_1952,3081.959785
Americas,Trinidad and Tobago,gdpPercap_1952,3023.271928
Americas,United States,gdpPercap_1952,13990.48208
Americas,Uruguay,gdpPercap_1952,5716.766744
Americas,Venezuela,gdpPercap_1952,7689.799761
Asia,Afghanistan,gdpPercap_1952,779.4453145
Asia,Bahrain,gdpPercap_1952,9867.084765
Asia,Bangladesh,gdpPercap_1952,684.2441716
Asia,Cambodia,gdpPercap_1952,368.4692856
Asia,China,gdpPercap_1952,400.448610699994
Asia,Hong Kong China,gdpPercap_1952,3054.421209
Asia,India,gdpPercap_1952,546.5657493
Asia,Indonesia,gdpPercap_1952,749.6816546
Asia,Iran,gdpPercap_1952,3035.326002
Asia,Iraq,gdpPercap_1952,4129.766056
Asia,Israel,gdpPercap_1952,4086.522128
Asia,Japan,gdpPercap_1952,3216.956347
Asia,Jordan,gdpPercap_1952,1546.907807
Asia,Korea Dem. Rep.,gdpPercap_1952,1088.277758
Asia,Korea Rep.,gdpPercap_1952,1030.592226
Asia,Kuwait,gdpPercap_1952,108382.3529
Asia,Lebanon,gdpPercap_1952,4834.804067
Asia,Malaysia,gdpPercap_1952,1831.132894
Asia,Mongolia,gdpPercap_1952,786.5668575
Asia,Myanmar,gdpPercap_1952,331
Asia,Nepal,gdpPercap_1952,545.8657229
Asia,Oman,gdpPercap_1952,1828.230307
Asia,Pakistan,gdpPercap_1952,684.5971438
Asia,Philippines,gdpPercap_1952,1272.880995
Asia,Saudi Arabia,gdpPercap_1952,6459.554823
Asia,Singapore,gdpPercap_1952,2315.138227
Asia,Sri Lanka,gdpPercap_1952,1083.53203
Asia,Syria,gdpPercap_1952,1643.485354
Asia,Taiwan,gdpPercap_1952,1206.947913
Asia,Thailand,gdpPercap_1952,757.7974177
Asia,Vietnam,gdpPercap_1952,605.0664917
Asia,West Bank and Gaza,gdpPercap_1952,1515.592329
Asia,Yemen Rep.,gdpPercap_1952,781.7175761
Europe,Albania,gdpPercap_1952,1601.056136
Europe,Austria,gdpPercap_1952,6137.076492
Europe,Belgium,gdpPercap_1952,8343.105127
Europe,Bosnia and Herzegovina,gdpPercap_1952,973.5331948
Europe,Bulgaria,gdpPercap_1952,2444.286648
Europe,Croatia,gdpPercap_1952,3119.23652
Europe,Czech Republic,gdpPercap_1952,6876.14025
Europe,Denmark,gdpPercap_1952,9692.385245
Europe,Finland,gdpPercap_1952,6424.519071
Europe,France,gdpPercap_1952,7029.809327
Europe,Germany,gdpPercap_1952,7144.114393
Europe,Greece,gdpPercap_1952,3530.690067
Europe,Hungary,gdpPercap_1952,5263.673816
Europe,Iceland,gdpPercap_1952,7267.688428
Europe,Ireland,gdpPercap_1952,5210.280328
Europe,Italy,gdpPercap_1952,4931.404155
Europe,Montenegro,gdpPercap_1952,2647.585601
Europe,Netherlands,gdpPercap_1952,8941.571858
Europe,Norway,gdpPercap_1952,10095.42172
Europe,Poland,gdpPercap_1952,4029.329699
Europe,Portugal,gdpPercap_1952,3068.319867
Europe,Romania,gdpPercap_1952,3144.613186
Europe,Serbia,gdpPercap_1952,3581.459448
Europe,Slovak Republic,gdpPercap_1952,5074.659104
Europe,Slovenia,gdpPercap_1952,4215.041741
Europe,Spain,gdpPercap_1952,3834.034742
Europe,Sweden,gdpPercap_1952,8527.844662
Europe,Switzerland,gdpPercap_1952,14734.23275
Europe,Turkey,gdpPercap_1952,1969.10098
Europe,United Kingdom,gdpPercap_1952,9979.508487
Oceania,Australia,gdpPercap_1952,10039.59564
Oceania,New Zealand,gdpPercap_1952,10556.57566
Africa,Algeria,gdpPercap_1957,3013.976023
Africa,Angola,gdpPercap_1957,3827.940465
Africa,Benin,gdpPercap_1957,959.6010805
Africa,Botswana,gdpPercap_1957,918.2325349
Africa,Burkina Faso,gdpPercap_1957,617.1834648
Africa,Burundi,gdpPercap_1957,379.5646281
Africa,Cameroon,gdpPercap_1957,1313.048099
Africa,Central African Republic,gdpPercap_1957,1190.844328
Africa,Chad,gdpPercap_1957,1308.495577
Africa,Comoros,gdpPercap_1957,1211.148548
Africa,Congo Dem. Rep.,gdpPercap_1957,905.8602303
Africa,Congo Rep.,gdpPercap_1957,2315.056572
Africa,Cote d'Ivoire,gdpPercap_1957,1500.895925
Africa,Djibouti,gdpPercap_1957,2864.969076
Africa,Egypt,gdpPercap_1957,1458.915272
Africa,Equatorial Guinea,gdpPercap_1957,426.0964081
Africa,Eritrea,gdpPercap_1957,344.1618859
Africa,Ethiopia,gdpPercap_1957,378.9041632
Africa,Gabon,gdpPercap_1957,4976.198099
Africa,Gambia,gdpPercap_1957,520.9267111
Africa,Ghana,gdpPercap_1957,1043.561537
Africa,Guinea,gdpPercap_1957,576.2670245
Africa,Guinea-Bissau,gdpPercap_1957,431.7904566
Africa,Kenya,gdpPercap_1957,944.4383152
Africa,Lesotho,gdpPercap_1957,335.9971151
Africa,Liberia,gdpPercap_1957,620.9699901
Africa,Libya,gdpPercap_1957,3448.284395
Africa,Madagascar,gdpPercap_1957,1589.20275
Africa,Malawi,gdpPercap_1957,416.3698064
Africa,Mali,gdpPercap_1957,490.3821867
Africa,Mauritania,gdpPercap_1957,846.1202613
Africa,Mauritius,gdpPercap_1957,2034.037981
Africa,Morocco,gdpPercap_1957,1642.002314
Africa,Mozambique,gdpPercap_1957,495.5868333
Africa,Namibia,gdpPercap_1957,2621.448058
Africa,Niger,gdpPercap_1957,835.5234025
Africa,Nigeria,gdpPercap_1957,1100.592563
Africa,Reunion,gdpPercap_1957,2769.451844
Africa,Rwanda,gdpPercap_1957,540.2893983
Africa,Sao Tome and Principe,gdpPercap_1957,860.7369026
Africa,Senegal,gdpPercap_1957,1567.653006
Africa,Sierra Leone,gdpPercap_1957,1004.484437
Africa,Somalia,gdpPercap_1957,1258.147413
Africa,South Africa,gdpPercap_1957,5487.104219
Africa,Sudan,gdpPercap_1957,1770.337074
Africa,Swaziland,gdpPercap_1957,1244.708364
Africa,Tanzania,gdpPercap_1957,698.5356073
Africa,Togo,gdpPercap_1957,925.9083202
Africa,Tunisia,gdpPercap_1957,1395.232468
Africa,Uganda,gdpPercap_1957,774.3710692
Africa,Zambia,gdpPercap_1957,1311.956766
Africa,Zimbabwe,gdpPercap_1957,518.7642681
Americas,Argentina,gdpPercap_1957,6856.856212
Americas,Bolivia,gdpPercap_1957,2127.686326
Americas,Brazil,gdpPercap_1957,2487.365989
Americas,Canada,gdpPercap_1957,12489.95006
Americas,Chile,gdpPercap_1957,4315.622723
Americas,Colombia,gdpPercap_1957,2323.805581
Americas,Costa Rica,gdpPercap_1957,2990.010802
Americas,Cuba,gdpPercap_1957,6092.174359
Americas,Dominican Republic,gdpPercap_1957,1544.402995
Americas,Ecuador,gdpPercap_1957,3780.546651
Americas,El Salvador,gdpPercap_1957,3421.523218
Americas,Guatemala,gdpPercap_1957,2617.155967
Americas,Haiti,gdpPercap_1957,1726.887882
Americas,Honduras,gdpPercap_1957,2220.487682
Americas,Jamaica,gdpPercap_1957,4756.525781
Americas,Mexico,gdpPercap_1957,4131.546641
Americas,Nicaragua,gdpPercap_1957,3457.415947
Americas,Panama,gdpPercap_1957,2961.800905
Americas,Paraguay,gdpPercap_1957,2046.154706
Americas,Peru,gdpPercap_1957,4245.256698
Americas,Puerto Rico,gdpPercap_1957,3907.156189
Americas,Trinidad and Tobago,gdpPercap_1957,4100.3934
Americas,United States,gdpPercap_1957,14847.12712
Americas,Uruguay,gdpPercap_1957,6150.772969
Americas,Venezuela,gdpPercap_1957,9802.466526
Asia,Afghanistan,gdpPercap_1957,820.8530296
Asia,Bahrain,gdpPercap_1957,11635.79945
Asia,Bangladesh,gdpPercap_1957,661.6374577
Asia,Cambodia,gdpPercap_1957,434.0383364
Asia,China,gdpPercap_1957,575.9870009
Asia,Hong Kong China,gdpPercap_1957,3629.076457
Asia,India,gdpPercap_1957,590.061996
Asia,Indonesia,gdpPercap_1957,858.9002707
Asia,Iran,gdpPercap_1957,3290.257643
Asia,Iraq,gdpPercap_1957,6229.333562
Asia,Israel,gdpPercap_1957,5385.278451
Asia,Japan,gdpPercap_1957,4317.694365
Asia,Jordan,gdpPercap_1957,1886.080591
Asia,Korea Dem. Rep.,gdpPercap_1957,1571.134655
Asia,Korea Rep.,gdpPercap_1957,1487.593537
Asia,Kuwait,gdpPercap_1957,113523.1329
Asia,Lebanon,gdpPercap_1957,6089.786934
Asia,Malaysia,gdpPercap_1957,1810.066992
Asia,Mongolia,gdpPercap_1957,912.6626085
Asia,Myanmar,gdpPercap_1957,350
Asia,Nepal,gdpPercap_1957,597.9363558
Asia,Oman,gdpPercap_1957,2242.746551
Asia,Pakistan,gdpPercap_1957,747.0835292
Asia,Philippines,gdpPercap_1957,1547.944844
Asia,Saudi Arabia,gdpPercap_1957,8157.591248
Asia,Singapore,gdpPercap_1957,2843.104409
Asia,Sri Lanka,gdpPercap_1957,1072.546602
Asia,Syria,gdpPercap_1957,2117.234893
Asia,Taiwan,gdpPercap_1957,1507.86129
Asia,Thailand,gdpPercap_1957,793.5774148
Asia,Vietnam,gdpPercap_1957,676.2854478
Asia,West Bank and Gaza,gdpPercap_1957,1827.067742
Asia,Yemen Rep.,gdpPercap_1957,804.8304547
Europe,Albania,gdpPercap_1957,1942.284244
Europe,Austria,gdpPercap_1957,8842.59803
Europe,Belgium,gdpPercap_1957,9714.960623
Europe,Bosnia and Herzegovina,gdpPercap_1957,1353.989176
Europe,Bulgaria,gdpPercap_1957,3008.670727
Europe,Croatia,gdpPercap_1957,4338.231617
Europe,Czech Republic,gdpPercap_1957,8256.343918
Europe,Denmark,gdpPercap_1957,11099.65935
Europe,Finland,gdpPercap_1957,7545.415386
Europe,France,gdpPercap_1957,8662.834898
Europe,Germany,gdpPercap_1957,10187.82665
Europe,Greece,gdpPercap_1957,4916.299889
Europe,Hungary,gdpPercap_1957,6040.180011
Europe,Iceland,gdpPercap_1957,9244.001412
Europe,Ireland,gdpPercap_1957,5599.077872
Europe,Italy,gdpPercap_1957,6248.656232
Europe,Montenegro,gdpPercap_1957,3682.259903
Europe,Netherlands,gdpPercap_1957,11276.19344
Europe,Norway,gdpPercap_1957,11653.97304
Europe,Poland,gdpPercap_1957,4734.253019
Europe,Portugal,gdpPercap_1957,3774.571743
Europe,Romania,gdpPercap_1957,3943.370225
Europe,Serbia,gdpPercap_1957,4981.090891
Europe,Slovak Republic,gdpPercap_1957,6093.26298
Europe,Slovenia,gdpPercap_1957,5862.276629
Europe,Spain,gdpPercap_1957,4564.80241
Europe,Sweden,gdpPercap_1957,9911.878226
Europe,Switzerland,gdpPercap_1957,17909.48973
Europe,Turkey,gdpPercap_1957,2218.754257
Europe,United Kingdom,gdpPercap_1957,11283.17795
Oceania,Australia,gdpPercap_1957,10949.64959
Oceania,New Zealand,gdpPercap_1957,12247.39532
Africa,Algeria,gdpPercap_1962,2550.81688
Africa,Angola,gdpPercap_1962,4269.276742
Africa,Benin,gdpPercap_1962,949.4990641
Africa,Botswana,gdpPercap_1962,983.6539764
Africa,Burkina Faso,gdpPercap_1962,722.5120206
Africa,Burundi,gdpPercap_1962,355.2032273
Africa,Cameroon,gdpPercap_1962,1399.607441
Africa,Central African Republic,gdpPercap_1962,1193.068753
Africa,Chad,gdpPercap_1962,1389.817618
Africa,Comoros,gdpPercap_1962,1406.648278
Africa,Congo Dem. Rep.,gdpPercap_1962,896.3146335
Africa,Congo Rep.,gdpPercap_1962,2464.783157
Africa,Cote d'Ivoire,gdpPercap_1962,1728.869428
Africa,Djibouti,gdpPercap_1962,3020.989263
Africa,Egypt,gdpPercap_1962,1693.335853
Africa,Equatorial Guinea,gdpPercap_1962,582.8419714
Africa,Eritrea,gdpPercap_1962,380.9958433
Africa,Ethiopia,gdpPercap_1962,419.4564161
Africa,Gabon,gdpPercap_1962,6631.459222
Africa,Gambia,gdpPercap_1962,599.650276
Africa,Ghana,gdpPercap_1962,1190.041118
Africa,Guinea,gdpPercap_1962,686.3736739
Africa,Guinea-Bissau,gdpPercap_1962,522.0343725
Africa,Kenya,gdpPercap_1962,896.9663732
Africa,Lesotho,gdpPercap_1962,411.8006266
Africa,Liberia,gdpPercap_1962,634.1951625
Africa,Libya,gdpPercap_1962,6757.030816
Africa,Madagascar,gdpPercap_1962,1643.38711
Africa,Malawi,gdpPercap_1962,427.9010856
Africa,Mali,gdpPercap_1962,496.1743428
Africa,Mauritania,gdpPercap_1962,1055.896036
Africa,Mauritius,gdpPercap_1962,2529.067487
Africa,Morocco,gdpPercap_1962,1566.353493
Africa,Mozambique,gdpPercap_1962,556.6863539
Africa,Namibia,gdpPercap_1962,3173.215595
Africa,Niger,gdpPercap_1962,997.7661127
Africa,Nigeria,gdpPercap_1962,1150.927478
Africa,Reunion,gdpPercap_1962,3173.72334
Africa,Rwanda,gdpPercap_1962,597.4730727
Africa,Sao Tome and Principe,gdpPercap_1962,1071.551119
Africa,Senegal,gdpPercap_1962,1654.988723
Africa,Sierra Leone,gdpPercap_1962,1116.639877
Africa,Somalia,gdpPercap_1962,1369.488336
Africa,South Africa,gdpPercap_1962,5768.729717
Africa,Sudan,gdpPercap_1962,1959.593767
Africa,Swaziland,gdpPercap_1962,1856.182125
Africa,Tanzania,gdpPercap_1962,722.0038073
Africa,Togo,gdpPercap_1962,1067.53481
Africa,Tunisia,gdpPercap_1962,1660.30321
Africa,Uganda,gdpPercap_1962,767.2717398
Africa,Zambia,gdpPercap_1962,1452.725766
Africa,Zimbabwe,gdpPercap_1962,527.2721818
Americas,Argentina,gdpPercap_1962,7133.166023
Americas,Bolivia,gdpPercap_1962,2180.972546
Americas,Brazil,gdpPercap_1962,3336.585802
Americas,Canada,gdpPercap_1962,13462.48555
Americas,Chile,gdpPercap_1962,4519.094331
Americas,Colombia,gdpPercap_1962,2492.351109
Americas,Costa Rica,gdpPercap_1962,3460.937025
Americas,Cuba,gdpPercap_1962,5180.75591
Americas,Dominican Republic,gdpPercap_1962,1662.137359
Americas,Ecuador,gdpPercap_1962,4086.114078
Americas,El Salvador,gdpPercap_1962,3776.803627
Americas,Guatemala,gdpPercap_1962,2750.364446
Americas,Haiti,gdpPercap_1962,1796.589032
Americas,Honduras,gdpPercap_1962,2291.156835
Americas,Jamaica,gdpPercap_1962,5246.107524
Americas,Mexico,gdpPercap_1962,4581.609385
Americas,Nicaragua,gdpPercap_1962,3634.364406
Americas,Panama,gdpPercap_1962,3536.540301
Americas,Paraguay,gdpPercap_1962,2148.027146
Americas,Peru,gdpPercap_1962,4957.037982
Americas,Puerto Rico,gdpPercap_1962,5108.34463
Americas,Trinidad and Tobago,gdpPercap_1962,4997.523971
Americas,United States,gdpPercap_1962,16173.14586
Americas,Uruguay,gdpPercap_1962,5603.357717
Americas,Venezuela,gdpPercap_1962,8422.974165
Asia,Afghanistan,gdpPercap_1962,853.10071
Asia,Bahrain,gdpPercap_1962,12753.27514
Asia,Bangladesh,gdpPercap_1962,686.3415538
Asia,Cambodia,gdpPercap_1962,496.9136476
Asia,China,gdpPercap_1962,487.6740183
Asia,Hong Kong China,gdpPercap_1962,4692.648272
Asia,India,gdpPercap_1962,658.3471509
Asia,Indonesia,gdpPercap_1962,849.2897701
Asia,Iran,gdpPercap_1962,4187.329802
Asia,Iraq,gdpPercap_1962,8341.737815
Asia,Israel,gdpPercap_1962,7105.630706
Asia,Japan,gdpPercap_1962,6576.649461
Asia,Jordan,gdpPercap_1962,2348.009158
Asia,Korea Dem. Rep.,gdpPercap_1962,1621.693598
Asia,Korea Rep.,gdpPercap_1962,1536.344387
Asia,Kuwait,gdpPercap_1962,95458.11176
Asia,Lebanon,gdpPercap_1962,5714.560611
Asia,Malaysia,gdpPercap_1962,2036.884944
Asia,Mongolia,gdpPercap_1962,1056.353958
Asia,Myanmar,gdpPercap_1962,388
Asia,Nepal,gdpPercap_1962,652.3968593
Asia,Oman,gdpPercap_1962,2924.638113
Asia,Pakistan,gdpPercap_1962,803.3427418
Asia,Philippines,gdpPercap_1962,1649.552153
Asia,Saudi Arabia,gdpPercap_1962,11626.41975
Asia,Singapore,gdpPercap_1962,3674.735572
Asia,Sri Lanka,gdpPercap_1962,1074.47196
Asia,Syria,gdpPercap_1962,2193.037133
Asia,Taiwan,gdpPercap_1962,1822.879028
Asia,Thailand,gdpPercap_1962,1002.199172
Asia,Vietnam,gdpPercap_1962,772.0491602
Asia,West Bank and Gaza,gdpPercap_1962,2198.956312
Asia,Yemen Rep.,gdpPercap_1962,825.6232006
Europe,Albania,gdpPercap_1962,2312.888958
Europe,Austria,gdpPercap_1962,10750.72111
Europe,Belgium,gdpPercap_1962,10991.20676
Europe,Bosnia and Herzegovina,gdpPercap_1962,1709.683679
Europe,Bulgaria,gdpPercap_1962,4254.337839
Europe,Croatia,gdpPercap_1962,5477.890018
Europe,Czech Republic,gdpPercap_1962,10136.86713
Europe,Denmark,gdpPercap_1962,13583.31351
Europe,Finland,gdpPercap_1962,9371.842561
Europe,France,gdpPercap_1962,10560.48553
Europe,Germany,gdpPercap_1962,12902.46291
Europe,Greece,gdpPercap_1962,6017.190733
Europe,Hungary,gdpPercap_1962,7550.359877
Europe,Iceland,gdpPercap_1962,10350.15906
Europe,Ireland,gdpPercap_1962,6631.597314
Europe,Italy,gdpPercap_1962,8243.58234
Europe,Montenegro,gdpPercap_1962,4649.593785
Europe,Netherlands,gdpPercap_1962,12790.84956
Europe,Norway,gdpPercap_1962,13450.40151
Europe,Poland,gdpPercap_1962,5338.752143
Europe,Portugal,gdpPercap_1962,4727.954889
Europe,Romania,gdpPercap_1962,4734.997586
Europe,Serbia,gdpPercap_1962,6289.629157
Europe,Slovak Republic,gdpPercap_1962,7481.107598
Europe,Slovenia,gdpPercap_1962,7402.303395
Europe,Spain,gdpPercap_1962,5693.843879
Europe,Sweden,gdpPercap_1962,12329.44192
Europe,Switzerland,gdpPercap_1962,20431.0927
Europe,Turkey,gdpPercap_1962,2322.869908
Europe,United Kingdom,gdpPercap_1962,12477.17707
Oceania,Australia,gdpPercap_1962,12217.22686
Oceania,New Zealand,gdpPercap_1962,13175.678
Africa,Algeria,gdpPercap_1967,3246.991771
Africa,Angola,gdpPercap_1967,5522.776375
Africa,Benin,gdpPercap_1967,1035.831411
Africa,Botswana,gdpPercap_1967,1214.709294
Africa,Burkina Faso,gdpPercap_1967,794.8265597
Africa,Burundi,gdpPercap_1967,412.9775136
Africa,Cameroon,gdpPercap_1967,1508.453148
Africa,Central African Republic,gdpPercap_1967,1136.056615
Africa,Chad,gdpPercap_1967,1196.810565
Africa,Comoros,gdpPercap_1967,1876.029643
Africa,Congo Dem. Rep.,gdpPercap_1967,861.5932424
Africa,Congo Rep.,gdpPercap_1967,2677.939642
Africa,Cote d'Ivoire,gdpPercap_1967,2052.050473
Africa,Djibouti,gdpPercap_1967,3020.050513
Africa,Egypt,gdpPercap_1967,1814.880728
Africa,Equatorial Guinea,gdpPercap_1967,915.5960025
Africa,Eritrea,gdpPercap_1967,468.7949699
Africa,Ethiopia,gdpPercap_1967,516.1186438
Africa,Gabon,gdpPercap_1967,8358.761987
Africa,Gambia,gdpPercap_1967,734.7829124
Africa,Ghana,gdpPercap_1967,1125.69716
Africa,Guinea,gdpPercap_1967,708.7595409
Africa,Guinea-Bissau,gdpPercap_1967,715.5806402
Africa,Kenya,gdpPercap_1967,1056.736457
Africa,Lesotho,gdpPercap_1967,498.6390265
Africa,Liberia,gdpPercap_1967,713.6036483
Africa,Libya,gdpPercap_1967,18772.75169
Africa,Madagascar,gdpPercap_1967,1634.047282
Africa,Malawi,gdpPercap_1967,495.5147806
Africa,Mali,gdpPercap_1967,545.0098873
Africa,Mauritania,gdpPercap_1967,1421.145193
Africa,Mauritius,gdpPercap_1967,2475.387562
Africa,Morocco,gdpPercap_1967,1711.04477
Africa,Mozambique,gdpPercap_1967,566.6691539
Africa,Namibia,gdpPercap_1967,3793.694753
Africa,Niger,gdpPercap_1967,1054.384891
Africa,Nigeria,gdpPercap_1967,1014.514104
Africa,Reunion,gdpPercap_1967,4021.175739
Africa,Rwanda,gdpPercap_1967,510.9637142
Africa,Sao Tome and Principe,gdpPercap_1967,1384.840593
Africa,Senegal,gdpPercap_1967,1612.404632
Africa,Sierra Leone,gdpPercap_1967,1206.043465
Africa,Somalia,gdpPercap_1967,1284.73318
Africa,South Africa,gdpPercap_1967,7114.477971
Africa,Sudan,gdpPercap_1967,1687.997641
Africa,Swaziland,gdpPercap_1967,2613.101665
Africa,Tanzania,gdpPercap_1967,848.2186575
Africa,Togo,gdpPercap_1967,1477.59676
Africa,Tunisia,gdpPercap_1967,1932.360167
Africa,Uganda,gdpPercap_1967,908.9185217
Africa,Zambia,gdpPercap_1967,1777.077318
Africa,Zimbabwe,gdpPercap_1967,569.7950712
Americas,Argentina,gdpPercap_1967,8052.953021
Americas,Bolivia,gdpPercap_1967,2586.886053
Americas,Brazil,gdpPercap_1967,3429.864357
Americas,Canada,gdpPercap_1967,16076.58803
Americas,Chile,gdpPercap_1967,5106.654313
Americas,Colombia,gdpPercap_1967,2678.729839
Americas,Costa Rica,gdpPercap_1967,4161.727834
Americas,Cuba,gdpPercap_1967,5690.268015
Americas,Dominican Republic,gdpPercap_1967,1653.723003
Americas,Ecuador,gdpPercap_1967,4579.074215
Americas,El Salvador,gdpPercap_1967,4358.595393
Americas,Guatemala,gdpPercap_1967,3242.531147
Americas,Haiti,gdpPercap_1967,1452.057666
Americas,Honduras,gdpPercap_1967,2538.269358
Americas,Jamaica,gdpPercap_1967,6124.703451
Americas,Mexico,gdpPercap_1967,5754.733883
Americas,Nicaragua,gdpPercap_1967,4643.393534
Americas,Panama,gdpPercap_1967,4421.009084
Americas,Paraguay,gdpPercap_1967,2299.376311
Americas,Peru,gdpPercap_1967,5788.09333
Americas,Puerto Rico,gdpPercap_1967,6929.277714
Americas,Trinidad and Tobago,gdpPercap_1967,5621.368472
Americas,United States,gdpPercap_1967,19530.36557
Americas,Uruguay,gdpPercap_1967,5444.61962
Americas,Venezuela,gdpPercap_1967,9541.474188
Asia,Afghanistan,gdpPercap_1967,836.1971382
Asia,Bahrain,gdpPercap_1967,14804.6727
Asia,Bangladesh,gdpPercap_1967,721.1860862
Asia,Cambodia,gdpPercap_1967,523.4323142
Asia,China,gdpPercap_1967,612.7056934
Asia,Hong Kong China,gdpPercap_1967,6197.962814
Asia,India,gdpPercap_1967,700.7706107
Asia,Indonesia,gdpPercap_1967,762.4317721
Asia,Iran,gdpPercap_1967,5906.731805
Asia,Iraq,gdpPercap_1967,8931.459811
Asia,Israel,gdpPercap_1967,8393.741404
Asia,Japan,gdpPercap_1967,9847.788607
Asia,Jordan,gdpPercap_1967,2741.796252
Asia,Korea Dem. Rep.,gdpPercap_1967,2143.540609
Asia,Korea Rep.,gdpPercap_1967,2029.228142
Asia,Kuwait,gdpPercap_1967,80894.88326
Asia,Lebanon,gdpPercap_1967,6006.983042
Asia,Malaysia,gdpPercap_1967,2277.742396
Asia,Mongolia,gdpPercap_1967,1226.04113
Asia,Myanmar,gdpPercap_1967,349
Asia,Nepal,gdpPercap_1967,676.4422254
Asia,Oman,gdpPercap_1967,4720.942687
Asia,Pakistan,gdpPercap_1967,942.4082588
Asia,Philippines,gdpPercap_1967,1814.12743
Asia,Saudi Arabia,gdpPercap_1967,16903.04886
Asia,Singapore,gdpPercap_1967,4977.41854
Asia,Sri Lanka,gdpPercap_1967,1135.514326
Asia,Syria,gdpPercap_1967,1881.923632
Asia,Taiwan,gdpPercap_1967,2643.858681
Asia,Thailand,gdpPercap_1967,1295.46066
Asia,Vietnam,gdpPercap_1967,637.1232887
Asia,West Bank and Gaza,gdpPercap_1967,2649.715007
Asia,Yemen Rep.,gdpPercap_1967,862.4421463
Europe,Albania,gdpPercap_1967,2760.196931
Europe,Austria,gdpPercap_1967,12834.6024
Europe,Belgium,gdpPercap_1967,13149.04119
Europe,Bosnia and Herzegovina,gdpPercap_1967,2172.352423
Europe,Bulgaria,gdpPercap_1967,5577.0028
